럿,4,ㄹㅓㅅ
렀,4,ㄹㅓㅆ
렁,4,ㄹㅓㅇ
렇,4,ㄹㅓㅎ
레,1,ㄹㅔ
렉,4,ㄹㅔㄱ
렌,4,ㄹㅔㄴ
렐,4,ㄹㅔㄹ
렘,4,ㄹㅔㅁ
렙,4,ㄹㅔㅂ
렛,4,ㄹㅔㅅ
렝,4,ㄹㅔㅇ
려,1,ㄹㅕ
력,4,ㄹㅕㄱ
련,4,ㄹㅕㄴ
렬,4,ㄹㅕㄹ
렴,4,ㄹㅕㅁ
렵,4,ㄹㅕㅂ
렷,4,ㄹㅕㅅ
렸,4,ㄹㅕㅆ
령,4,ㄹㅕㅇ
례,1,ㄹㅖ
롄,4,ㄹㅖㄴ
롑,4,ㄹㅖㅂ
롓,4,ㄹㅖㅅ
로,2,ㄹㅗ
록,5,ㄹㅗㄱ
론,5,ㄹㅗㄴ
롤,5,ㄹㅗㄹ
롬,5,ㄹㅗㅁ
롭,5,ㄹㅗㅂ
롯,5,ㄹㅗㅅ
롱,5,ㄹㅗㅇ
롸,3,ㄹㅘ
롼,6,ㄹㅘㄴ
뢍,6,ㄹㅘㅇ
뢨,6,ㄹㅙㅆ
뢰,3,ㄹㅚ
뢴,6,ㄹㅚㄴ
뢸,6,ㄹㅚㄹ
룀,6,ㄹㅚㅁ
룁,6,ㄹㅚㅂ
룃,6,ㄹㅚㅅ
룅,6,ㄹㅚㅇ
료,2,ㄹㅛ
룐,5,ㄹㅛㄴ
룔,5,ㄹㅛㄹ
룝,5,ㄹㅛㅂ
룟,5,ㄹㅛㅅ
룡,5,ㄹㅛㅇ
루,2,ㄹㅜ
룩,5,ㄹㅜㄱ
룬,5,ㄹㅜㄴ
룰,5,ㄹㅜㄹ
룸,5,ㄹㅜㅁ
룹,5,ㄹㅜㅂ
룻,5,ㄹㅜㅅ
룽,5,ㄹㅜㅇ
뤄,3,ㄹㅝ
뤘,6,ㄹㅝㅆ
뤠,3,ㄹㅞ
뤼,3,ㄹㅟ
뤽,6,ㄹㅟㄱ
륀,6,ㄹㅟㄴ
륄,6,ㄹㅟㄹ
륌,6,ㄹㅟㅁ
륏,6,ㄹㅟㅅ
륑,6,ㄹㅟㅇ
류,2,ㄹㅠ
륙,5,ㄹㅠㄱ
륜,5,ㄹㅠㄴ
률,5,ㄹㅠㄹ
